OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber,Street Address,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),DefaultData,Comment,ComplianceStatus,Outlier,2010 Census Tracts,Seattle Police Department Micro Community Policing Plan Areas,City Council Districts,SPD Beats,Zip Codes
20067,2015,NonResidential,"Restaurant
",FARE START,659000710,3623 DeWolf Way,7,DOWNTOWN,1923,1,3,33600,0,33600,"Office, Restaurant",Restaurant,19200,Office,14400,,,,,133.1,138.9,332.9,339,4470620,4666185,0,910050,3105221,13655,1365528,0,94.17,2.41,No,,Compliant,,,56,,7,19576
20068,2015,Multifamily LR (1-4),Low-Rise Multifamily,ST MARTIN"S ON WEST LAKE HOUSING,659000715,"32520 Lougheed Hwy, Mission Junction Shopping Centre",7,DOWNTOWN,1907,1,3,39201,0,39201,"Multifamily Housing, Retail Store",Multifamily Housing,22050,Retail Store,1800,,,,,74.2,83.6,182.7,200,1769998,1994543,0,350577,1196217,5738,573830,0,38.82,0.86,No,,Compliant,,,56,,7,19576
20069,2015,Multifamily LR (1-4),Low-Rise Multifamily,LARNED APTS,659000740,"32555 London Ave, Unit 370, Metral Station",7,DOWNTOWN,1909,1,3,23568,0,23568,"Multifamily Housing, Retail Store",Multifamily Housing,12331,Retail Store,4509,,,,,51,55.8,112.1,122.8,858932,939353,0,138335,472018,3869,386934,0,23.84,0.93,No,,Compliant,,,56,,7,19576
20071,2015,Multifamily LR (1-4),Low-Rise Multifamily,THE VIRGINIAN APTS,659000965,"6334 Metral Drive, Terminal Shopping Centre",7,DOWNTOWN,1917,1,3,21130,0,21130,Multifamily Housing,Multifamily Housing,21130,,,,,,88,65,80.6,86.9,103.4,1372475,1703889,0,55491,189342,11831,1183141,0,64.16,3,No,,Compliant,,,56,,31,19576
20072,2015,Multifamily MR (5-9),Mid-Rise Multifamily,SHERIDAN APTS,659001015,"1150 North Terminal Avenue, 101, University Village",7,DOWNTOWN,1914,1,6,36880,0,36880,Multifamily Housing,Multifamily Housing,36880,,,,,,90,56.6,65.6,91,101.8,2086588,2417747,1349585,134508,458962,2781,278060,0,122.14,3.26,No,,Compliant,,,56,,31,19576
20073,2015,NonResidential,Other,GRIFFIN BUILDING,659001020,"540 5th Street, 103, Departure Bay Ferry Terminal",7,DOWNTOWN,1927,1,4,32356,0,32356,"Bank Branch, Financial Office",Financial Office,25876,Bank Branch,6480,,,,92,40.3,45.2,99.7,104.1,1303887,1463824,448146,250803,855776,0,0,0,40.56,1.14,No,,Compliant,,,56,,31,19576
20082,2015,NonResidential,Hotel,LA QUINTA INN & SUITES,660000435,680 TransCanada Highway,7,DOWNTOWN,1960,1,7,61180,12960,48220,Hotel,Hotel,61180,,,,,,31,57.9,59.1,123.1,126.8,3542542,3615061,0,534591,1824101,17185,1718517,0,103.99,1.57,No,,Compliant,,,56,,7,19576
20087,2015,NonResidential,Small- and Mid-Sized Office,800 Stewart,660000625,"650 Terminal Ave, 104, Country Club Centre",7,DOWNTOWN,1978,1,5,43506,11250,32256,"Office, Parking",Office,32569,Parking,0,,,,60,92.3,101.3,207.3,210.7,3005926,3297982,0,504097,1720052,12859,1285945,0,80.29,1.68,No,,Compliant,,,56,,31,18081
20093,2015,Multifamily HR (10+),Other,THE OLIVIAN,660000835,3200 Island Highway,7,DOWNTOWN,2008,1,27,501239,161025,340214,Other,Other,269758,,,,,,,53.5,54.9,139.7,141.2,14431245,14821898,0,3158894,10778594,36531,3653098,0,269.15,0.44,No,,Compliant,,,14,,31,18081
20094,2015,Multifamily HR (10+),High-Rise Multifamily,TOWER 801 APARTMENTS,660000900,6650 Mary Ellen Drive,7,DOWNTOWN,1970,1,23,179745,39504,140241,"Multifamily Housing, Parking, Swimming Pool",Multifamily Housing,121455,Parking,15360,Swimming Pool,0,,12,63.8,72.4,169.4,196.4,7753535,8798310,0,1743452,5948905,18049,1804877,0,137.33,0.62,No,,Compliant,,,14,,31,18081
20095,2015,Multifamily LR (1-4),Low-Rise Multifamily,LOCK VISTA APTS,1175001045,211 Anderson Street,6,BALLARD,1949,1,3,159820,0,159820,"Multifamily Housing, Parking",Multifamily Housing,159820,Parking,0,Swimming Pool,0,,92,28.5,31.9,65.4,74.3,4558824,5103522,0,793440,2707328,18516,1851608,0,117.21,0.66,No,,Compliant,,,4,,1,18386
20100,2015,Multifamily LR (1-4),Low-Rise Multifamily,GOLDEN SUNSET APTS,1176001275,800 McBride Boulevard,6,BALLARD,1968,1,3,60858,0,60858,Multifamily Housing,Multifamily Housing,60858,,,,,,91,31,34.5,75.8,85.5,1885930,2100107,0,369261,1259972,6260,626010,0,42.03,0.6,No,,Compliant,,,4,,1,18386
20112,2015,Multifamily LR (1-4),Low-Rise Multifamily,HARBOR SQUARE APTS,1224039015,411 East Columbia Street,1,SOUTHWEST,1990,1,3,28033,0,28033,,,,,,,,,74,32.6,35,69.3,75.5,909703,976271,0,137554,469353,4404,440369,0,26.66,0.88,No,,Compliant,,,41,,49,19581
20120,2015,Multifamily LR (1-4),Low-Rise Multifamily,SEATTLE HOUSING AUTHORITY,1250200025,898 Carnarvon St,3,CENTRAL,1986,1,3,39816,0,39816,Multifamily Housing,Multifamily Housing,39816,,,,,,33,34.1,38.3,107.1,120.4,1357442,1526536,0,397844,1357498,0,0,0,9.46,0.09,Yes,,Compliant,,,32,,18,17919
20130,2015,NonResidential,Worship Facility,GREEN LAKE UNITED METHODIST,1257200735,"555 6th Street, Plaza 88",6,NORTHWEST,1910,1,2,23931,0,23931,Worship Facility,Worship Facility,23931,,,,,,91,18.8,0,33.5,0,450518,0,0,46215,157691,2928,292834,0,16.65,0.67,No,,Compliant,,,53,,25,18377
20132,2015,NonResidential,Worship Facility,SEVENTH DAY ADVENTIST CHURCH,1257203120,"331-800 Carnarvon St, Royal Square Mall",6,NORTHWEST,1948,1,2,21393,0,21393,Worship Facility,Worship Facility,21393,,,,,,60,38,47.9,65.3,80,813252,1025125,0,76283,260288,5530,552974,0,31.18,1.41,No,,Compliant,,,53,,25,18377
20133,2015,Multifamily MR (5-9),Mid-Rise Multifamily,BUSH HOTEL 2 CONDOMINIUM,1275150000,"800 McBride Blvd., Unit #21, Queensborough Landing Shopping Centre",2,DOWNTOWN,1915,1,6,150374,0,150374,"Multifamily Housing, Office, Restaurant, Retail Store, Social/Meeting Hall, Supermarket/Grocery Store",Multifamily Housing,47814,Office,22372,Restaurant,6479,,,89.5,97.7,149,157.7,7592451,8292047,0,654894,2234591,53580,5357953,0,300.14,1.93,No,,Compliant,High Outlier,,27,,22,18379
20138,2015,Multifamily MR (5-9),Mid-Rise Multifamily,THE CLAREMONT,1604700000,"805 Boyd St, 150, The Village at Sapperton",2,SOUTHEAST,2010,1,6,78005,14081,63924,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,59103,Parking,14081,Retail Store,4620,,,27.2,29.7,68.2,74.5,1735816,1891693,0,354250,1208751,5271,527114,0,36.42,0.4,No,,Compliant,,,10,,42,17919
20140,2015,Multifamily LR (1-4),Low-Rise Multifamily,GALE PLACE APTS,1282301210,289 Nelson's Court,2,SOUTHEAST,1956,1,2,20400,0,20400,"Multifamily Housing, Parking",Multifamily Housing,20448,Parking,0,,,,42,46.3,51.9,145.5,162.8,947518,1060432,0,277702,947557,0,0,0,6.61,0.12,No,,Compliant,,,38,,42,17919
20141,2015,NonResidential,Mixed Use Property,WALDEN BUILDING,1282301295,"610 6th St, Columbia Square Plaza",2,SOUTHEAST,1990,1,2,47560,0,47560,"Distribution Center, Non-Refrigerated Warehouse, Office",Distribution Center,23146,Non-Refrigerated Warehouse,15724,Office,8255,,72,26.4,31.2,57.4,62.4,1242764,1468567,0,196065,669000,5738,573792,0,35.14,0.68,No,,Compliant,,,38,,42,17919
20145,2015,NonResidential,Senior Care Community,CABRINI SENIOR HOUSING,1285700000,"1005 Columbia Street, 110",3,EAST,2006,1,6,62334,10877,51457,"Bank Branch, Senior Care Community",Senior Care Community,35696,Bank Branch,15661,,,,100,21.5,24,42.1,46.8,1101695,1235125,0,140629,479844,6219,621871,0,36.37,0.55,No,,Compliant,,,19,,12,18379
20152,2015,Multifamily LR (1-4),Low-Rise Multifamily,CALLISTO CONDOMINIUM,1307000000,601 Columbia,6,LAKE UNION,1969,1,3,28296,0,28296,,,,,,,,,61,28.5,30.4,89.5,95.5,806306,860186,0,236315,806339,0,0,0,5.62,0.08,No,,Compliant,,,20,,2,18377
20153,2015,Multifamily LR (1-4),Low-Rise Multifamily,CAMBRIDGE COURT CONDOMINIUM,1310450000,1323 Lonsdale Avenue,5,NORTH,1982,1,4,41664,0,41664,Multifamily Housing,Multifamily Housing,41644,,,,,,79,23.4,26,73.4,81.7,973242,1083549,0,285241,973282,0,0,0,6.78,0.06,No,,Compliant,,,46,,28,18792
20160,2015,NonResidential,Residence Hall/Dormitory,SIGMA KAPPA CORP,1321300090,"333 Brooksbank Ave., #510",4,NORTHEAST,1930,1,3,20960,0,20960,Residence Hall/Dormitory,Residence Hall/Dormitory,20960,,,,,,,70.1,85.8,111.7,131.3,1469870,1797865,0,112033,382271,10876,1087614,0,60.43,2.8,No,,Compliant,,,60,,47,18383
20162,2015,Multifamily MR (5-9),Mid-Rise Multifamily,GETHSEMANE APARTMENTS,2748000000,2990 Mountain Highway,7,DOWNTOWN,2012,1,7,67403,0,67403,"Multifamily Housing, Office, Other, Other - Lodging/Residential, Worship Facility",Multifamily Housing,36729,Worship Facility,12690,Other - Lodging/Residential,11810,,,66.4,74.8,123.8,132.7,4475652,5043504,0,511291,1744597,27311,2731127,0,157.21,2.22,No,,Compliant,,,56,,7,18081
20163,2015,Multifamily HR (10+),High-Rise Multifamily,ASPIRA - APARTMENTS,660001170,"2601 Westview Dr, #780",7,DOWNTOWN,2008,1,37,517164,145625,371539,"Multifamily Housing, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc), Restaurant",Multifamily Housing,414331,Parking,108300,"Personal Services (Health/Beauty, Dry Cleaning, etc)",4258,"2015, 2014",86,29.2,30.5,77.8,79.6,12271749,12846606,0,2781337,9490316,27818,2781826,0,213.9,0.33,No,,Compliant,,,56,,7,18081
20164,2015,Multifamily MR (5-9),Mid-Rise Multifamily,JULIE APARTMENTS,660001235,1331 Main Street,7,DOWNTOWN,1929,1,5,30180,0,30180,"Multifamily Housing, Office, Other",Multifamily Housing,36050,Other,1500,Office,450,,,58,66.9,105.2,114.6,2202407,2540826,0,236512,807013,13954,1395428,0,79.74,2.53,No,,Compliant,,,56,,7,18081
20166,2015,NonResidential,College/University,Cornish (BEEBE),660001305,"1701 Lonsdale Avenue, Capilano Mall",7,DOWNTOWN,1910,1,3,28800,0,28800,College/University,College/University,28800,,,,,,,25.4,28.2,74,80.9,731315,811595,0,191274,652653,787,78689,0,8.73,0.21,No,,Compliant,,,56,,7,19576
20167,2015,NonResidential,K-12 School,SOCIAL SECURITY ADMINISTRATION,660001310,"935 Marine Drive, Unit 53, Lonsdale Quay",7,DOWNTOWN,1957,1,2,21600,0,21600,K-12 School,K-12 School,21600,,,,,,83,49.8,60.1,105.7,115,1074937,1299224,0,161743,551891,5231,523069,0,31.63,1.35,No,,Compliant,,,56,,7,19576
20168,2015,NonResidential,K-12 School,SPRUCE STREET SCHOOL,660001365,"145 Chadwick Court, #151",7,DOWNTOWN,1995,1,3,22860,0,22860,K-12 School,K-12 School,22860,,,,,,35,44.6,49.3,140,154.8,1019043,1126822,0,298665,1019086,0,0,0,7.1,0.12,No,,Compliant,,,56,,7,19576
20169,2015,Multifamily LR (1-4),Low-Rise Multifamily,BOWDOIN PLACE CONDOMINIUM,1004500000,1175 Mt Seymour Road,6,LAKE UNION,1990,1,4,25490,0,25490,"Multifamily Housing, Parking",Multifamily Housing,25490,Parking,9300,,,,85,26.1,29,82.1,91,666436,739005,0,195321,666464,0,0,0,4.65,0.07,No,,Compliant,,,20,,2,18377
20170,2015,Multifamily MR (5-9),Mid-Rise Multifamily,STATION AT OTHELLO PARK,1005000168,391 North Dollarton,2,SOUTHEAST,2010,1,7,387971,90335,297636,"Multifamily Housing, Restaurant, Retail Store",Multifamily Housing,387971,Retail Store,12368,Restaurant,4878,,76,26.1,27.6,61.4,65,10564729,11190256,0,1933200,6596352,39687,3968652,0,256.76,0.59,No,,Compliant,,,7,,45,18800
20179,2015,Multifamily LR (1-4),Low-Rise Multifamily,LEWISON PLACE APARTMENTS,1025049103,3127 Edgemont Boulevard,4,NORTHEAST,1966,1,3,25137,0,25137,Multifamily Housing,Multifamily Housing,25137,,,,,,,28.6,32.3,89.8,101.5,718552,812872,0,210596,718582,0,0,0,5.01,0.08,No,,Compliant,,,55,,48,18383
20182,2015,NonResidential,Worship Facility,ST BRIDGET CHURCH,1025049150,2925 Lonsdale Avenue,4,NORTHEAST,1972,1,1,26366,0,26366,"Parking, Worship Facility",Worship Facility,26386,Parking,0,,,,90,29.9,36.9,59,68.5,790204,974557,0,102043,348184,4420,442034,0,25.9,0.93,No,,Compliant,,,55,,48,18383
20186,2015,Multifamily LR (1-4),Low-Rise Multifamily,BRADFORD COURT CONDOMINIUM,1029900000,1290 Marine Drive,1,SOUTHWEST,1992,1,4,31236,0,31236,Multifamily Housing,Multifamily Housing,31236,,,,,,77,29.1,31.7,91.4,99.5,908834,989770,0,266364,908872,0,0,0,6.34,0.08,No,,Compliant,,,45,,49,19581
20187,2015,Multifamily MR (5-9),Mid-Rise Multifamily,BRAEBURN CONDOMINIUM,1036600000,"273 Lonsdale Ave, Mills Road Plaza",3,EAST,2005,1,7,140759,0,140759,"Multifamily Housing, Parking",Multifamily Housing,140759,Parking,61200,,,,93,29.3,32.4,80.7,86.6,4130053,4560466,0,984283,3358513,7717,771679,0,64.4,0.35,No,,Compliant,,,8,,4,19578
20188,2015,Multifamily LR (1-4),Low-Rise Multifamily,BRANDON COURT CONDOMINIUM,1041400000,382 E Island Highway,1,DELRIDGE,1999,1,3,27119,0,27119,Multifamily Housing,Multifamily Housing,22153,,,,,,,29.5,31.8,92.5,99.8,652425,703975,0,191215,652452,0,0,0,4.55,0.06,No,,Compliant,,,24,,13,18385
20197,2015,NonResidential,Worship Facility,SEPHARDIC BIKUR HOLIM,1102000351,1301 Main Street,2,SOUTHEAST,1965,1,2,21732,0,21732,Worship Facility,Worship Facility,21732,,,,,,3,37.8,43.5,85.2,91.2,820705,945563,0,138822,473680,3470,347044,0,21.73,0.91,No,,Compliant,,,30,,43,18800
20198,2015,Multifamily LR (1-4),Low-Rise Multifamily,GARDEN COURT APTS,1105000105,202 Main Street,2,SOUTHEAST,1961,1,3,43752,0,43752,Multifamily Housing,Multifamily Housing,43752,,,,,,33,33.9,38,106.6,119.2,1484807,1660565,0,435172,1484869,0,0,0,10.35,0.09,Yes,,Compliant,,,7,,45,18800
20199,2015,Multifamily LR (1-4),Low-Rise Multifamily,GRAHAM ST APTS,1105000115,2111 Main Street,2,SOUTHEAST,1968,1,3,60270,7682,52588,"Multifamily Housing, Non-Refrigerated Warehouse, Parking, Residence Hall/Dormitory",Multifamily Housing,53285,Parking,2000,Non-Refrigerated Warehouse,525,,,25.4,27.6,79.7,86.6,1375366,1495433,0,403097,1375423,0,0,0,9.59,0.06,No,,Compliant,,,7,,45,18800
20201,2015,Multifamily LR (1-4),Low-Rise Multifamily,BRIGHTON PLACE APTS,1105000460,300 Riverside Drive,2,SOUTHEAST,1968,1,4,160561,0,160561,Multifamily Housing,Multifamily Housing,160561,,,,,,93,35.5,40.9,62.9,69.3,5696571,6571058,0,578236,1973022,37236,3723630,0,211.52,1.26,No,,Compliant,,,7,,45,18800
20207,2015,Multifamily LR (1-4),Low-Rise Multifamily,MYRTLE STREET APTS,1105000900,"19184 Lougheed Hwy, Pacific Rim Station",2,SOUTHEAST,1969,1,4,34678,0,34678,Multifamily Housing,Multifamily Housing,34678,,,,,,42,32.8,35.2,103.1,110.4,1138520,1219575,0,333681,1138567,0,0,0,7.94,0.09,No,,Compliant,,,7,,45,18800
20209,2015,Multifamily LR (1-4),Low-Rise Multifamily,BRITTANY HOUSE CONDOMINIUM,1116500000,101-3555 Johnston Rd,7,MAGNOLIA / QUEEN ANNE,1977,1,4,22394,5110,17284,"Multifamily Housing, Parking",Multifamily Housing,22394,Parking,5110,,,,73,33.5,37.2,105.1,116.7,749207,832240,0,219580,749238,0,0,0,5.22,0.09,No,,Compliant,,,33,,27,18235
20210,2015,Multifamily MR (5-9),Mid-Rise Multifamily,BRIX,1117050000,"2564 Shaughnessy Street, #101",3,EAST,2007,1,6,145812,0,145812,"Medical Office, Multifamily Housing, Office, Parking, Restaurant",Multifamily Housing,117242,Parking,23500,Restaurant,4846,,,41.3,42.9,97.4,99,5148331,5339137,0,942791,3216937,19315,1931527,0,125.01,0.76,No,,Compliant,,,8,,5,18376
20211,2015,NonResidential,Mixed Use Property,BALLARD TRANSFER & STORES,1125039009,2160 Hawkins Street,6,BALLARD,1945,1,1,21060,0,21060,"Non-Refrigerated Warehouse, Office, Other, Retail Store",Non-Refrigerated Warehouse,10495,Retail Store,10240,Office,1890,,,13.7,15.8,36,39.4,335382,384745,0,73801,251820,836,83572,0,6.19,0.24,No,,Compliant,,,4,,1,18386
20212,2015,NonResidential,Mixed Use Property,MARKET STREET HOLDINGS,1125039011,2840 Oxford Street,6,BALLARD,1960,1,4,20539,0,20539,"Medical Office, Multifamily Housing, Office, Restaurant, Retail Store",Retail Store,7387,Multifamily Housing,5264,Restaurant,3700,,,78.3,79.7,189.4,190.8,1622008,1651053,0,311343,1062348,5597,559704,0,37.13,1.59,No,,Compliant,,,4,,1,18386
20217,2015,SPS-District K-12,K-12 School,SAND POINT ELEMENTARY (SPS-DISTRICT),1125049134,1100-2850 Shaughnessy St,4,NORTHEAST,1958,1,1,38624,0,38624,K-12 School,K-12 School,40151,,,,,,83,34.3,41.1,76.2,86.4,1356465,1625891,0,222821,760297,5962,596200,0,36.96,0.87,Yes,,Compliant,,,55,,48,18792
20222,2015,Multifamily MR (5-9),Mid-Rise Multifamily,BROADWAY PLAZA CONDOMINIUM,1131000000,"1502 Broadway Street, 3170",3,EAST,1985,1,5,22874,0,22874,Multifamily Housing,Multifamily Housing,22874,,,,,,,27.4,29.7,85.9,93.3,625938,679997,0,183452,625964,0,0,0,4.36,0.07,No,,Compliant,,,8,,5,18376
20223,2015,Multifamily LR (1-4),Low-Rise Multifamily,WHITE HEATHER APT BLDG,1133000220,176 Brew St,5,NORTH,1965,1,3,21469,0,21469,Multifamily Housing,Multifamily Housing,21469,,,,,,68,25.6,28.4,80.4,89.2,549438,609605,0,161031,549461,0,0,0,3.83,0.07,No,,Compliant,,,29,,26,19579
20224,2015,Multifamily LR (1-4),Low-Rise Multifamily,PINEHURST COURT,1133000225,330-221 Ioco Road,5,NORTH,1984,1,4,50252,0,50252,Multifamily Housing,Multifamily Housing,50252,,,,,,3,47.3,53.7,148.6,168.5,2378077,2696863,0,696975,2378176,0,0,0,16.58,0.13,Yes,,Compliant,,,29,,26,19579
20228,2015,Multifamily LR (1-4),Low-Rise Multifamily,ARRAGUN APARTMENTS,1139000105,2350 St Johns S,5,NORTHWEST,1978,1,3,22824,2344,20480,"Multifamily Housing, Parking",Multifamily Housing,20480,Parking,2344,,,,38,29.7,31.2,93.4,97.9,609218,638724,0,178552,609244,0,0,0,4.25,0.07,No,,Compliant,,,6,,32,19582
20230,2015,Multifamily LR (1-4),Low-Rise Multifamily,NORTHPARK VILLAGE,1139000990,7040 Barnet St,5,NORTHWEST,1988,1,3,57338,14208,43130,"Multifamily Housing, Parking",Multifamily Housing,43180,Parking,14208,,,,86,27.8,29,87.4,91.1,1201918,1252493,0,352262,1201968,0,0,0,8.38,0.06,Yes,,Compliant,,,6,,32,19582
20232,2015,Multifamily MR (5-9),Mid-Rise Multifamily,MALLOY APTS,1142000015,"7065 Barnet Street, Spruceland Shopping Centre",4,NORTHEAST,1928,1,8,93502,0,93502,Multifamily Housing,Multifamily Housing,93502,,,,,,91,34.2,38.3,76,86.5,3195230,3581699,0,525561,1793289,14020,1402015,0,86.96,0.85,No,,Compliant,,,60,,38,18383
20234,2015,Multifamily LR (1-4),Low-Rise Multifamily,BARTELL"S AND APARTMENTS,1142000120,"643  West Central Street, City Gate Centre",4,NORTHEAST,1909,1,4,20260,0,20260,"Multifamily Housing, Retail Store",Multifamily Housing,12640,Retail Store,7620,,,,,31.4,30.2,98.6,94.8,636266,611719,0,186479,636292,0,0,0,4.44,0.08,No,,Compliant,,,60,,38,18383
20237,2015,NonResidential,Retail Store,RETAIL,1142000160,"1477 West Central, College Heights Plaza",4,NORTHEAST,1900,1,3,32960,0,32960,Retail Store,Retail Store,32960,,,,,,64,27,27,84.7,84.7,889225,889225,0,260617,889262,0,0,0,6.2,0.07,Yes,,Compliant,,,60,,38,18383
20241,2015,NonResidential,Other,NEPTUNE THEATER,1142000235,"5212 Domano Blvd, Ste 100",4,NORTHEAST,1921,1,3,29636,0,29636,"Multifamily Housing, Other - Entertainment/Public Assembly",Other - Entertainment/Public Assembly,25096,Multifamily Housing,4540,,,,,21.3,21.3,67,67,632157,632157,0,185275,632183,0,0,0,4.41,0.06,No,,Compliant,,,60,,38,18383
20242,2015,NonResidential,Hotel,THE COLLEGIANA (UW MED),1142000445,"444 George St, Pine Centre Mall",4,NORTHEAST,1930,1,3,20571,0,20571,Hotel,Hotel,20571,,,,,,69,35.1,37,110.3,116.1,722891,760698,0,211867,722921,0,0,0,5.04,0.09,No,,Compliant,,,60,,38,18383
20243,2015,Multifamily LR (1-4),Low-Rise Multifamily,LA MIRADA APARTMENTS,1142000450,"3161 Massey Drive, 101",4,NORTHEAST,1956,1,4,23742,0,23742,Multifamily Housing,Multifamily Housing,23742,,,,,,88,27.2,31,85.4,97.4,645790,736703,0,189270,645817,0,0,0,4.5,0.07,No,,Compliant,,,60,,38,18383
20246,2015,Multifamily LR (1-4),Low-Rise Multifamily,CARLSTROM APARTMENTS,1142000670,200 2nd Ave W,4,NORTHEAST,1964,1,4,22344,5586,16758,Multifamily Housing,Multifamily Housing,22344,,,,,,80,29.6,33.4,92.8,104.9,660508,746270,0,193584,660535,0,0,0,4.6,0.08,No,,Compliant,,,60,,38,18383
20251,2015,Multifamily LR (1-4),Low-Rise Multifamily,FORDE APARTMENTS,1142000805,"445 Reid St, Revelstoke",4,NORTHEAST,1981,1,3,24492,3316,21176,Multifamily Housing,Multifamily Housing,21176,,,,,,69,27.2,30.8,85.6,96.8,577023,652828,0,169116,577047,0,0,0,4.02,0.06,No,,Compliant,,,60,,38,18383
20252,2015,Multifamily MR (5-9),Mid-Rise Multifamily,ESCOLIER APARTMENTS,1142000860,"1872 Trans Canada Highway, PO Box 910",4,NORTHEAST,1962,1,5,31075,0,31075,Multifamily Housing,Multifamily Housing,31075,,,,,,99,21.4,25.5,67.1,80.1,664088,792531,0,194633,664115,0,0,0,4.63,0.06,No,,Compliant,,,60,,38,18383
20258,2015,Multifamily LR (1-4),Low-Rise Multifamily,WELLESLEY APARTMENTS,1142000955,"8671 # Road, Ironwood Plaza",4,NORTHEAST,1925,1,3,28700,0,28700,Multifamily Housing,Multifamily Housing,28700,,,,,,51,30,34.3,94.1,107.7,860452,984724,0,252184,860488,0,0,0,6,0.08,No,,Compliant,,,60,,38,18383
20263,2015,Multifamily LR (1-4),Low-Rise Multifamily,STANFORD APARTMENTS,1142001090,"11660-11688 Steveston Hwy, CRU #9",4,NORTHEAST,1924,1,3,22542,0,22542,Multifamily Housing,Multifamily Housing,22542,,,,,,92,31.1,35.3,73.7,84.4,700739,795483,0,129703,442566,2582,258191,0,16.8,0.66,No,,Compliant,,,60,,38,18383
20264,2015,Multifamily LR (1-4),Low-Rise Multifamily,CAMPUS APT,1142001100,"8111 Ackroyd Road, #140, Imperial Landing",4,NORTHEAST,1923,1,4,24680,0,24680,Multifamily Housing,Multifamily Housing,24680,,,,,,88,31.8,37,71.8,84.8,784584,912455,0,132935,453592,3310,331010,0,20.74,0.76,No,,Compliant,,,60,,38,18383
20265,2015,Multifamily MR (5-9),Mid-Rise Multifamily,UNIVERSITY MANOR APARTMENTS,1142001140,"4010 Bayview Street, 105, Vancouver International Airport",4,NORTHEAST,1928,1,8,63837,0,63837,"Medical Office, Multifamily Housing, Other - Restaurant/Bar",Multifamily Housing,60799,Medical Office,1276,Other - Restaurant/Bar,976,,,37,44,88.8,108,2330029,2772716,0,442475,1509787,8203,820305,0,54.09,0.75,No,,Compliant,,,60,,38,18383
20266,2015,NonResidential,Worship Facility,UNIVERSITY METHODIST TEMPLE,1142001145,3211 Grant McConnachie Way,4,NORTHEAST,1926,1,2,47992,0,47992,"Other, Worship Facility",Worship Facility,37800,Other,10206,,,,19,59.9,76,104.5,123.3,2873278,3648423,0,280189,956044,19173,1917273,0,108.49,2.17,No,,Compliant,,,60,,38,18383
20267,2015,Multifamily LR (1-4),Low-Rise Multifamily,LA PAZ APARTMENTS WITH STREET LEVEL RETAIL,1142001210,"12571 Bridgeport Rd, Suite 104",4,NORTHEAST,1916,1,3,22320,0,22320,"Multifamily Housing, Retail Store",Multifamily Housing,14206,Retail Store,7006,,,,,76.5,91.9,137,153.1,1623647,1948742,0,168338,574393,10493,1049278,0,59.73,2.57,No,,Compliant,,,60,,38,18383
20273,2015,NonResidential,Residence Hall/Dormitory,BROOKLYN PLAZA DORM,1142001455,8525 Sea Island Way,4,NORTHEAST,1993,1,3,28572,7327,21245,"Parking, Residence Hall/Dormitory",Residence Hall/Dormitory,22000,Parking,7000,,,,16,122.6,126.5,243.8,248,2696136,2782869,0,355212,1212032,14842,1484154,0,87.27,2.87,No,,Compliant,,,60,,38,18383
20274,2015,Multifamily LR (1-4),Low-Rise Multifamily,COHO APARTMENTS,1142001475,"Westminster Highway & Minoru Blvd, Vancouver International Airport",4,NORTHEAST,1964,1,4,26639,0,26639,Multifamily Housing,Multifamily Housing,26639,,,,,,83,27,30,84.8,94.3,719060,800125,0,210745,719090,0,0,0,5.01,0.07,No,,Compliant,,,60,,38,18383
20279,2015,Multifamily LR (1-4),Low-Rise Multifamily,MAVERICK APT,1142001535,3211 Grant McConnachie Way,4,NORTHEAST,1963,1,4,34735,7064,27671,Multifamily Housing,Multifamily Housing,27671,,,,,,83,26.7,30.5,83.7,95.9,737570,845319,0,216169,737600,0,0,0,5.14,0.06,No,,Compliant,,,60,,38,18383
20280,2015,Multifamily LR (1-4),Low-Rise Multifamily,TYEE APARTMENTS,1142001560,8100 No. 2 Road,4,NORTHEAST,1963,1,4,25568,0,25568,Multifamily Housing,Multifamily Housing,20159,,,,,,88,35.6,39.8,111.8,125,717766,802695,0,210365,717795,0,0,0,5,0.07,No,,Compliant,,,60,,38,18383
