Conversation Number,Conversation
2734,"Hello , I bought a China dress in your shop this morning . -- Yes ? -- I bought one size up by mistake . -- Oh , did you ? -- I wonder if you can change it to one size down . -- Yes , of course . Will you come with receipt ? -- Then I ’ ll come to your place later in the evening , and how late is your shop open ? -- Until 8 o'clock madam . We are looking forward to seeing you . --"
2735,"I will have sole then . -- All right , how about the other guests . -- The rest of us will have this today's special , please . -- Ok . -- I am sorry but I ordered sole not the same as the others . Will you change it ? -- I'm afraid we have no more sole . -- Then I'll have the pork cutlet instead . -- Certainly , just a moment , sir . --"
2736,"Excuse me , would you tell me how to return to Hilton Hotel . I'm afraid I lost my way . -- Did you have hotel card or something ? -- Let me see . Yes , I have the address and hotel telephone number here . -- Oh , you stay at the down town Hilton . When you go down two blocks this way and turn left , you will find it on your right . -- I don't understand very well . Could you give me a map ? --"
2737,"By the way miss , where is the toilet ? -- Toilets are in the rear , I am afraid all the toilets are fully occupied at the moment . -- What ? Oh , what we live ! Thank you very much for your help , miss . -- You are welcome . --"
2738,"Excuse me , would you like a drink before your meal ? -- Pardon me ? -- Would you like a drink ? -- Oh , I see . I'll have a beer please -- Ok , here you are . -- Thank you . How much is it ? -- Well , all the drinks including beer are free of charge . -- Are you sure ? Then I'd love more beer please -- Don't worry . It would be back again a little later . -- Are you finished ? -- Yes , may I have some more beer ? -- Oh , sure . I'll be back in a minute . --"
2739,"I'm afraid I have to return this sweater . -- May I ask if there's anything wrong with it ? -- You see , there is a run at the neck . -- Oh , sorry.But do you want to change it for another one ? -- No , thank you . --"
2740,"Hi , could we have two orange juice smoothies ? -- Would you like those with yogurt ? -- Sure , why not ? -- What else would you like to add ? We highly recommend caterpillar fungus . -- Caterpillar fungus ? ! What the heck is that ? -- It ’ s a special kind of Chinese herb . It ’ s good for you ! --"
2741,"That is the most boring , typical gift in the world ! -- I know . But this year I want to get him an interesting tie . Like this one . -- That's not exactly a conversation piece . It's so plain . -- It's perfect ! It's a Dilbert tie ! -- The diagonal black and red stripes are really conservative though ... -- But watch this ... it bends upwards , just like Dilbert's tie . There's a wire inside . -- A fly-away tie ! What a riot ! --"
2742,"I'm a little nervous . -- Don't worry . You'll be fine . First of all , put on your seat belt . Adjust the mirrors . -- You don't think I'll need the seat belt , do you ? -- Of course not . But it's a good habit to put it on every time you drive . -- Just in case , right ? -- Right . Hold the steering wheel with your hands at ten o'clock and two o'clock . --"
2743,"This is exciting ! Thank you so much ! -- My pleasure . Release the parking brake , and we're almost ready to go . -- Boy oh , boy ! This is so cool . Let's rock and roll ! -- OK . Relax . This car is an automatic , so you don't have to worry about a clutch . -- Which one of these is the gas pedal ? --"
2744,"And there's a little upside-down Dilbert on the underside . -- When you flip the tie up , he's right side up . Brilliant . -- My dad will love this . He's a Dilbert fan . -- I wouldn't mind having one myself ... -- Model it for me . -- OK ! -- Wow ! You look just as dorky as Dilbert ! --"
2745,"Should I go now ? -- Nice and easy . Just give it a little gas . -- Nothing is happening ! -- First you have to put the car into gear . Move this shifter so the arrow points at D for drive . -- What do these other letters mean ? -- R is for reverse , P is for park , and D1 and D2 are lower gears for going through snow , or up a steep hill . --"
2746,"What is this ? I didn't order that . -- I ’ m terribly sorry . May I have your order again ? I'll get it right away . -- I've ordered savory pork and coleslaw . -- I'm sorry . I must have made a mistake . I'll bring them for you at once . -- Hey ! What is this ? -- Pardon me , Miss . But didn't you order chicken soup ? -- Oh , Is that what this is ? -- I believe so . But if it really bothers you , I'll replace it for you . -- No , don't replace it . Give a refund . -- Sorry . I'm afraid we can't . But you may order something else instead . -- Oh , really ? Give me a clam soup . -- Okay , Miss . -- Thank you . -- I hope you enjoy your dinner . --"
2747,"Who is the next ? -- I am . -- All right . Over here , sir . How are you today ? -- Fine , thanks . -- How do you want you hair cut ? -- Don't make it too short . I just want a trim . -- Yes , sir . I will use the scissors.Do you always part your hair on the left ? -- Yes , I do.That looks good . It's not too short.It ' s just right . How much do I owe you ? -- That will be 3.50 dollars . -- Here is 4 dollars , keep the change . -- Thank you very much . Come back to see us . --"
2748,"Good evening , do you have a reservation ? -- Yes , we ’ Ve got a reservation . The name is Ann . -- Let me see . Ok , this way , please . -- This is your table . -- And would you like to order now ? -- Yes . -- Here is the menu . -- Thank you . --"
2749,"Are you ready to order now , sir ? -- Yes , let me have this roast beef special . -- You have a choice of vegetables , green peas , lima beans or spinach . -- I will have the green peas and make sure the beef is well done . -- Yes , sir . What would you want to drink , coffee , tea or milk ? -- A cup of coffee , please , with cream and sugar . -- The cream and sugar are on the table , sir . -- Oh , yes . -- Would you like to order some dessert ? -- What comes with the special ? -- Ice cream , fresh fruit or chocolate cake . -- I think I will have a dish of Vanilla ice cream . -- Yes , sir . -- Waiter , may I have my check , please ? -- Here you are , sir . Pay the cashier at the door . --"
2750,"Excuse me , I'd like to try some Chinese food . -- We serve excellent Chinese food . Which style do you prefer ? -- I know nothing about Chinese food . Could you give me some suggestions ? -- It's divided into 8 big cuisines such as Cantonese food , Shandong food , Sichuan food etc . -- Is there any difference ? -- Yes , Cantonese food is lighter while Shandong food is heavier and spicy . -- How about Sichuan food ? -- Most Sichuan dishes are spicy and hot . They taste differently . -- Oh , really . I like hot food . So what is your recommendation for me ? -- I think Mapo bean curd and shredded meat in chili sauce are quite special and delicious . We have a Sichuan food dining room . May I suggest you to go there ? It's on the third floor . -- Thank you . -- It's my pleasure . --"
2751,"Excuse me . Do you know where the Admiral Hotel is ? -- That's over on Callaway Street , isn't it ? -- Yes , but I can't find Callaway Street . -- Walk that way for about four blocks . The hotel's about two blocks north of there . -- Thanks a lot . -- Not at all . --"
2752,"Good evening . Do you have a reservation ? -- No , we don't . -- How many people are you together ? -- Just two people . -- Would you like to sit in a smoking section , a non-smoking section or whatever comes open first ? -- We prefer non-smoking section . -- I am awfully sorry but there are no vacancies left now . Would you like to wait for a moment ? -- How long a wait do you think there ’ ll be ? -- I think about ten minutes . -- Ok , we'll wait a while . -- I am sorry for making you wait so long . Now there is a table available in non-smoking section . Please follow me . -- Thank you . -- This is the menu . Are you ready to order now ? -- Well , I think I'd like to have a tomato sausage soup first . And the same for him , please . -- Yes , and what would you like to drink ? -- One goblet of red wine and one bottle of beer please . -- Would you like a dessert ? -- What special kind of desserts do you have ? -- Lemon pie , hot cake in syrup , chocolate sundae and custard pudding . -- Well , I think we will order after we finish the main course . -- All right . I'll bring your soup right away . --"
2753,"Have you finished ? -- Yes , but dinner was excellent -- Would you like some of coffee ? -- No , thank you . Check please . -- Yes sir , one moment please . here is the check . -- Here is the two dollars , will you bring me the receipt ? -- Here is the change . -- Please keep the change . -- Thank you very much sir . --"
2754,"Excuse me , sir . But please call an ambulance . My friend suddenly got a sharp pain in the stomach . -- Is he all right ? There's a big hospital just around the corner . -- Oh , is there ? Will you find someone to take us to the hospital then ? -- All right , sir . I'll have someone to take you there . By the way , is he insured ? -- Yes , he is . -- I'm glad to hear that . In case he's not insured , the hospital will never accepts any patient . --"
2755,"Hi , my name is Violet . Come with me , and I'll help you wash your hair . -- My hair is kind of dry and brittle ... -- I'll pick a shampoo that's just right for your hair type . Sit right here , and rest your neck on the side of the sink . Is the water too hot ? -- No , it's just perfect . -- Let me know if I'm using too much force . -- No , really , it feels great . -- OK ! You're all set ! Come back with me to your seat , and Eva will be right with you . --"
2756,"Don't take too much off . I'm trying to grow my hair longer . -- How about two inches ? -- That sounds perfect . Do you think I can get some highlights today , too ? I've always wanted red . -- I think that will over-process your hair , you should wait at least two weeks . -- All right . I'll just have the cut and perm today . -- Great . My assistant will wash your hair , and then I'll be back to help you . -- OK . --"
2757,This broth is wonderful . What's in it ? -- Lamb and beef . It will get even tastier when we add the veggies ! -- Hey ! Watch out ! You're using the same spoon for both broths ! -- So ? -- You're getting that hot stuff in my mild broth ! -- You'll be OK . It's just a little bit ... --
2758,It's Chinese New Year ! That means it's time to eat hot pot ! -- Let's eat the kind that has both spicy and mild broth in one pot . -- You mean half-and-half ? -- Yep . That way I can satisfy my craving for spicy food and you can eat hot pot without burning into flames . -- Good idea . --
2759,Oh ! My mouth is on fire ! -- I feel so good . That warm hot pot certainly hits the spot on winter nights . -- I need more water ! -- Oooo ... gross ... you're sweating all over the place . -- It's your fault for mixing the two broths ! -- You're going to have a little Montezuma's revenge tomorrow morning . --
2760,"Hi , Andy . I am going to Isabel ’ s . Are you coming ? -- No . The things are too expensive there for me . I can't afford it . -- That is no problem at all . Isabel ’ s is having a clearance sale , and today is the last day . You don't want to miss such a good chance , do you ? -- Really ? That's wonderful . Can you wait a second ? I need to change . -- All right , but hurry up . It takes you hours to change . -- I will . Do you think we can get something really nice and cheap ? I mean this is the last day . -- I think so . They don't sell shoddy cloth for one thing . -- Should we ask Cindy to come along ? She saw the evening gown made of silk last month that she wanted to buy very much . She didn't buy it of course . It would cost her three months ’ salary . -- She already bought that evening gown . -- When ? -- Yesterday . She wore that gown last night , and showed it off to everybody at Mr . Mile ’ s party . -- Oh ? Isn't that like her . -- Hurry up , will you ? We ’ ll have to go to the gas station first . -- All right , all right . I am ready to go . Let's go ! --"
2761,"Did you find everything ok today ? -- Yes , I did . By the way , in case there is a flaw in this CD player , can I return it ? -- Yes . But you must return it within 30 days . -- Is there a charge for that . I know other stores have a restocking fee . -- There will be no charge at all . However you must show us the receipt . Could you sign it here , please ? -- Thank you . -- All right . Keep you receipt . If something comes up , you can show it to us and we will give you a refund . -- Thanks . I'll put it in a safe place . --"
2762,"Hey , Jim . Wake up ! -- Do I have to get up now ? -- You'd better get up or you'll be late . -- What are you talking about ? The alarm hasn't even gone off yet . -- Yes , It has . It went off 30 minutes ago . -- I must have slept right through it . -- Rise and shine , sleepyhead . -- Just let me sleep five more minutes . --"
2763,"Hi , can I help you ? -- No , thanks . I'm just looking . -- All right . If you need any help , just let me know . My name is Greg . -- Sure , I'll let you know if I need anything . Hm , this mattress is very firm . Jack will probably like it . -- Did you find something you like ? -- Yes , this mattress is very good . It's pretty firm . The mattress I ’ m now sleeping on is saggy . -- You are right . This is very good brand . It doesn't sag easily and we offer a lifetime warranty , so you don't have to worry about its quality . -- Does it come with a frame ? -- Unfortunately , it doesn't . However we can give you a 10 % discount on the frame . We also offer a very good financing plan . There is no payment no interest until next June . -- That's an attractive plan . I'll think about it . --"
2764,"Hi , are you being helped ? -- No , I'm not . I am interested in some scarves . -- All our scarves are in this section . What do you think of this one here ? It's made of silk . -- Hm , It looks nice , but I ’ d like to have something warm for the winter . -- Maybe you would like a heavy wool scarves . How about this one ? -- I think that's what I want . How much is it ? -- It's 75 dollars plus tax . -- It's a little expensive . Do you think it's possible to get a discount ? -- Since you like it so much , how about a 10 % discount ? That's the best I can offer . -- That's good . Could you wrap it for me ? -- Sure . Is there anything else I can get for you ? -- No , that should be it . Thank you ! --"
2765,"Are you through with your meal ? -- Yes , we are . Could we have the check , please ? -- Here is your check , 86 dollars in all . Can I take care of it here when you are ready ? -- Do you accept checks ? -- No , I'm sorry we don't . We accept credit cards and cash . -- Well , I don't have any cash with me , so I ’ ll have to put it on credit . -- I'll be right back . -- Ok , please wait a minute . Can I have my food packaged ? -- I see . I'll bring some to-go boxes for you . -- Thank you . --"
2766,"I've got to get dad a Father's Day gift . -- Thanks for reminding me . It always slips my mind . -- This year I'm going to get him a gag gift . -- Cool ! That's a great idea . What did you have in mind ? -- Well , we have a tradition in my family ... -- Don't tell me , socks . -- No , ties . And there's a tie store . Let's go ! --"
2767,"How much did you pay for the TV ? -- 200 bucks . -- 200 bucks for a piece of junk like that ? That's a ripped-off . -- What do you mean ? -- It's not worth it . -- Oh , I guess I really did get ripped off . --"
2768,"Hello ! Can I help you ? -- Well , I am looking for some winter clothes for my fiancee . -- Oh , it's the high time for you purchasing in our clothes shop . We are now having a preseason sale on all our winter apparel . -- Really ? What's that ? -- Every thing for winter is 20 % off . -- I think my fiancee may favor the sweater in the shop window . Would you like to help me look for any skirts that go with this sweater ? -- Sure , we have both skirts and trousers that would look well with the sweater . Look at this section . -- I especially like this flowery skirts . My fiancee will look very elegant in this . -- You have a good taste . It's very much in style this year . -- I don't think the green one fits her complexion . Do you have any skirts in light color or tan ? -- Look on the rack to the right . -- Oh , yes . I'll take this one . Can I pay by traveler ’ s check ? -- It's ok . --"
2769,"Hello ! Can I help you ? -- Well , I am looking for some winter clothes for my fiancee . -- Oh , it's the high time for you purchasing in our clothes shop . We are now having a preseason sale on all our winter apparel . -- Really ? What's that ? -- Every thing for winter is 20 % off . -- I think my fiancee may favor the sweater in the shop window . Would you like to help me look for any skirts that go with this sweater ? -- Sure , we have both skirts and trousers that would look well with the sweater . Look at this section . -- I especially like this flowery skirts . My fiancee will look very elegant in this . -- You have a good taste . It's very much in style this year . -- I don't think the green one fits her complexion . Do you have any skirts in light color or tan ? -- Look on the rack to the right . -- Oh , yes . I'll take this one . Can I pay by traveler ’ s check ? -- It's ok . --"
2770,Mmm . Nice and crunchy . And they leave a space uncovered for you to hold ... -- They're so much fun to eat . You can suck all the coating off first ... -- Or just stuff the whole thing in your mouth at once ! -- But that way you're not savoring it . -- Whatever . Give me another pack . -- Hey ! The movie hasn't even started and they're almost gone ! --
2771,How long do you plan on staying ? -- I don't know ! Can I park my car now ? -- We are open from nine to nine . So be sure to be back by then . -- Fine ! I'll be back by nine then . Don't worry . -- Alright . There's a spot open at the far end of the lot . Here's your parking stub . -- Finally ! -- Please drive slowly . --
2772,"Well , it's illegal to bring food and drinks into the theater . -- Too bad . I did anyway . -- No wonder you brought such a big bag today . -- I brought Strawberry Sticks . See ? -- Those are the ones that are pre-dipped in sweet coating ! -- Yep . And there's real strawberry chunks in the coating . --"
2773,"I'm going to go to the concession stand and get some popcorn and Coke . -- Go ahead . Waste your money . -- What are you talking about ? We always eat the stuff here . -- Well , I don't ... anymore . -- But what's a movie without munchies ? -- I didn't say I was going to deprive myself . --"
2774,"Oh , no ! My stub ! I can't believe it — I flushed it down the toilet ! -- Excuse me , madam ! You parked in the handicapped spot . -- But , but ... it was really an emergency ! And , my stub ... -- Don't tell me you lost it . -- Ah , umm , kind of . -- That was quick . -- Well , I , umm , I flushed it ... --"
2775,"No-no-no , sorry ! That's a handicapped parking space . Are you handicapped ? -- No , but this is an emergency ! Please ! -- Sorry , but you'll have to park in a normal space . -- OK , OK , fine ! Just open the gate ! -- Be patient , miss . It'll just be a second . -- Thank god ! A car's leaving . It's my turn ! --"
2776,"Hey ! A real cook gets down and dirty . Besides , I think I look good covered in baking mix ... -- What concoction are you making ? -- Well , your making cinnamon toast inspired me to go out and buy a waffle maker . -- Awesome ! I'm in heaven . Let me help . They're so easy . -- I know . You just add milk , eggs and a little oil to the baking mix and stir ... -- And then you just pour the batter into the waffle iron ... --"
2777,"Are you making what I think you're making ? -- Nothing but the best , Cinnamon toast . -- What a nostalgic food ! -- Why the drama ? Have you been watching soap operas ? -- No . Just the smell of bread toasting to a perfect golden brown ... -- Brings back memories ? --"
2778,"Yes . Of my mother standing in the kitchen and me doing my homework before school ... -- How sweet ... if you make me some more toast , I'll let you use my new retro toaster ... -- OK ! I'll show you how my mom did it . -- Isn't the shape cool ? -- Yeah , and it's bigger than ours was . -- Hey ! What's that smell ? Are you burning the toast ? --"
2779,"Where is the shelf of best-sellers ? -- Books in the first aisle are all best sellers . -- Could you give me some advice on books for killing time on the train ? -- Well , do you like novels ? -- Yes , very much . Which one is the latest ? -- Here is one written by famous Japanese novelist . You can have a look . -- Thank you for your help . -- My pleasure . --"
2780,"Can I help you ? -- I'd like two kilos of eggs . -- What kind ? -- Do you have the eggs with the red yolk ? -- Sorry , madam . We have stopped selling those kinds of eggs for a week . -- Why ? -- You know , red yolk is proved unnatural . It's artificial , and may lead to cancer . -- Oh , My God ! That's terrible . -- Yes , so they are no longer being sold . -- Then give me the ordinary ones . --"
2781,"Can I help you , sir ? -- Yes , I want to buy some grapes . -- What kind of grapes do you want ? -- People say grapes from XinJiang are much sweeter than other kinds . Please give me a kilo of that . -- Ok , wait a moment please . -- Make sure they are fresh . -- Trust me . --"
2782,"I'd like to buy a fridge . What about the quality of higher products ? -- I strongly recommend it . As an international enterprise , it produces high quality household appliances . -- Is there a warranty ? -- Yes , all their products have warranties . -- How long is it ? -- The fridges is covered by a one-year warranty . -- Which model is the best seller of this year ? -- This one . How do you like it ? -- It's too big for me . Could you recommend something else ? -- Sure , this way please . --"
2783,"What can I do for you , Miss ? -- I want to buy a bottle of perfume for myself . -- Well , here is a perfume kind for women . -- I don't like strong perfumes . -- How about this Isawell's flowery perfume ? -- I don't think it smells nice . -- Do you have green tea perfume ? -- Yes , here you are . -- May I have a look at this ? -- Sure . The bittersweet perfume has a calming effect on the nerves . -- I like this fragrance . -- How much is it ? -- 150 yuan . -- I'll take it . --"
2784,"Could you introduce some whitening products for me ? -- Please forgive me just being frankly , madam . You don't need whitening products because you look pretty white . But you have freckles on your face . -- Then what kind of product can fade freckles ? -- I recommend Nisei products . This brand has a face cream which is effective on fading freckles . -- How much is it ? -- 419 yuan . -- It is too expensive for me . Do you have something cheaper ? -- I'm afraid there isn't . --"
2785,"Good morning , sir . Can I help you ? -- Good morning . I want to buy a lipstick for my wife because it is her birthday today . -- Do you know what color your wife often wears ? -- Light pink . -- Would you like this color or other colors ? -- I'd like her to have a change . -- Then how do you like this plum red one ? -- It is nice . Is it water proof ? -- Yes , sir . -- Okay , I'll take it . Could you help me gift wrap it ? -- Of course . --"
2786,"That dress is very pretty . Why don ’ t you like it ? -- It ’ s too loud . -- We ’ Ve been looking around for many hours.What on earth are you looking for ? -- Well , you know , those styles or colors don ’ t suit me . -- What style do you want ? -- I want to buy a V-neck checked sweater , and it should be tight . -- Oh , I see.How about the color ? -- Quiet color . -- I know a shop selling this kind of sweaters . -- Really ? Let ’ s go there . --"
2787,I would like to have a custom-made skirt . -- May I take your size ? -- OK . I want it a bit close around the waist . -- No problem . -- How long will it take ? -- About a week . -- What ’ s the charge for the tailoring ? -- 20 yuan for a skirt . --
2788,"Well , I ’ d like to have my coat to order.Will you take my measurements ? -- Certainly.How do you like to have it made ? -- Make it after the present fashion , please.What if it does not fit ? -- You may rest assured . -- When can I expect to have it ? -- By the end of next week . -- Ok then . See you next weekend . --"
2789,"I'd like to get my laundry . -- Yes , sir . May I have your laundry ticket please ? -- Here you are . -- Yes , they're ready to go . -- Can you sew on these buttons ? -- No problem . -- How much for the shirts ? -- 10 dollars . -- Here's the money , keep the change . -- Thank you , bye ! --"
2790,"I'd like to have this shirt washed and ironed . -- OK , do you want us to use starch ? -- Yes , heavy starch in the collar please . -- Yeah , sir . Your shirt will be ready by Thursday morning . Anything else ? -- I also have a suit to be dry-cleaned . Can I fetch it the day after tomorrow ? It's urgent . -- No problem , sir . -- Could you please tell me when your laundry opens and closes ? -- We'll remain open from 9 a . m . till 8 p . m . -- I see . -- Here's your laundry ticket , sir . -- Thank you . --"
2791,"Can I help you ? -- I'd like to buy a tie to match this suit . -- We have various colors . How about this one ? -- Well , the color is all right . But it looks outdated.Can you show me that one ? -- You have a very good taste . It's our best seller . -- Really ? -- Sure ! Look , it suits you well . --"
2792,"Can I help you , Madam ? -- Yes . I'd like to buy a sweater for my husband . Which style is the latest ? -- These are all the latest fashion . How do you like this white turtleneck one ? -- I like this style . But do you have any other colors ? I feel that this color doesn't suit his complexion . -- We also have it in grey . -- Great ! I will take it . And could you suggest a pair of trousers to match this sweater ? -- It's my pleasure . I think this pair of jeans will suit the sweater well . -- Let me see . Yes , they are perfectly matched ! --"
2793,"This needs dry-cleaning.Can you remove this stain without harming the fabric ? -- Let me see . We ’ ll try , but I ’ m not sure that we can remove it . -- Ok , then . We ’ ll I ’ d also like to have this pressed . -- Any starch ? -- No starch . --"
2794,"Am I ever hungry ? When will supper be ready ? -- It's almost ready . Can you set the table ? -- All right . -- Want to taste this dish ? -- Yeah . Oh , it's delicious ! -- Really ? -- Definitely . It's a wonderful meal . Thank you , Honey . -- If you like to help me do the dishes , I'll be more dreadful . -- I wish I could , but I won't . --"
2795,"Excellent Cleaner ’ s.May I help you ? -- Yes.Will you check if my suit is ready to go , please ? -- Your name , please ? -- Bill Smith . -- I remember your name . Wait for a moment , please . I ’ ll check it for you . Is this black one yours ? -- No , it ’ s a dark brown suit . -- I see . Is this yours ? -- Right . -- It ’ s ready to go . -- Thanks . --"
2796,"Ahhs ! I'm beat ! -- What happened to you ? You look like you got hit by a tornado ! -- I just got back from fighting the crowds . -- You mean at the mall ? Was there a sale ? -- Yeah . For five minutes , everything was half off . It was total chaos ... -- Cool ! -- Grabbing , pushing and shoving ... --"
2797,"Hello ! I'm sorry to bother you . This is a complimentary fruit tray . Your food will be ready soon . -- Wow ! It's a fruit sculpture ! Your chef is a real artist ! -- Actually , uh , I made it myself ... -- You did ? Wow ! Where did you learn ... ? -- Sorry , but I've gotta run . Enjoy your food , and ring the service button if you need anything else ! --"
2798,"That looks graceful on you . -- Thank you.But it is too bright for me . -- How about this brown one ? -- Let me try it on . I like that color . -- Ok , i will get one for your.Here you are . -- But it is too loose.Do you have the smaller size ? -- Sorry , it had been sold out . -- What a pity ! --"
2799,"Hello , sir . Is there anything I can help you find ? -- Um ... Uh ... I'm just looking , thanks . -- Need a gift for your girlfriend or wife ? -- No , no , no . I'm just browsing . Thanks anyway . -- Well , if you need anything , just ask . -- Um ... well , where's the men's shoe department ? -- It's on the third floor . Turn left when you get off the escalator . --"
2800,"Look at the catalogue , John . I think I want to get this red blouse -- Don't you have one like this in blue ? -- Yah , but it doesn't have a red one . -- Do you need every color in the rainbow ? -- Yes ! -- Ze ze ze ... Women ! --"
2801,"Can I help you ? -- Yes.Do you have football stockings here ? -- Yes.There are two colors . -- OK , I'll buy two pairs of each color.And do you have sports socks ? -- Yes . -- OK , give me two pairs in white . -- Anything else ? -- No.That ' s all . --"
2802,"This is where we sing ? These booths are so comfortable I think I could fall asleep ! -- Let's order something to eat . What are you in the mood for ? -- I'll have whatever you're having . -- OK . How about some spring rolls and squid balls , some pork skins , and some beer ! -- Well ... the beer sounds good ! --"
2803,"Can I help you ? -- I'd like a pair of sports shoes . -- Well , we have all kinds of sports shoes.Could you tell me what kind of sport you usually do ? -- I just like jogging . -- OK , then you can buy a pair of jogging shoes.Here are jogging shoes.Which pair do you like best ? -- Er ... , that blue pair . I need size 43 , please . -- Here you are.You can try them on . -- Very comfortable . I'll take them . --"
2804,"Have you ever shopped online ? -- Quite often . It is very convenient , saving me a lot of time . -- Do you have some experiences to share with me ? I want to have a try . -- You are asking the right person . Here are two very important tips . First , you need to visit no more than one site to find the best products and prices . I can recommend you some online merchants . Second , write your mail address correctly . Otherwise , you can ’ t receive your delivery in time . -- What about the registration procedure ? Is that complicated ? -- Not at all . You just need to provide your name , address , e-mail address , phone number and bank or credit card information . I will help you with that . -- It is so nice of you . --"
2805,"Honey , could you help me operate the VD player ? It can't play . -- Oh , are the connections correct ? -- I think so . -- Let me see . Look ! You confused the video frequency with the audio frequency . -- I'm too careless . -- Can it work now ? -- No . -- So what's the problem ? Maybe there is something wrong with the disk . -- It's a new disk . -- Give it to me . -- Here you are . -- Uh , the movie of Tom Hanks . I know why it can't play . This is a DVD disk . --"
2806,"My lease ends next month , so I have to find a new place . -- I feel sorry for you . It's a jungle out there . -- Do you know any places ? -- Well . I guess I can ask around to see if anyone's got a room or apartment available . -- Thank you . I think I should also have a look at the Internet to see if anyone's got a sublet . -- How much do are you looking to spend ? -- I can only afford about 1,000 yuan a month . -- Looks like you'll have to get a place in the suburbs . -- It doesn't matter , but it needs to be close to the subway or on a convenient bus route . -- Anything you need to have in the place ? -- I want a bedroom with full bath , and it'll be better if the bedroom is on the sunny side . -- You can also check out university bulletin boards . -- Why ? Will those be students who are leaving ? -- Not really , but landlords put up notices to attract students and they often have low rent . -- Thank you . I'll be sure to take a look . -- Good luck . --"
2807,"Can I help you ? -- I'm looking for an MP - 3 player . Which brand is of the highest quality ? -- I recommend Pioneer . -- Which model is the best-seller ? -- This model is very popular with ladies . -- May I have a look at it ? -- Sure , it's multi-functional . Besides playing music , it can also be used to store documents and make recordings . -- Do you have this model in white ? -- No , but we have it in yellow . -- Then I'll take the yellow one . -- Please wait a second . I'll get it for you . -- Okay . --"
2808,"What kind of car is best for me ? -- For you , I would recommend this one here . -- The compact ? Why do you think that one is better than the others ? -- This automobile is just right for your needs because not only is it compact for ease in city driving , but also , it has many safety features . I know that as a parent , you are concerned about safety in driving your kids to and from school . -- That's true . What kind of safety features are we talking about ? -- This model features anti-lock brakes , airbags on both driver and passenger sides , and impact collision design . But that's not all . This car isn't only safe but it's also very economical . -- You mean it has a cheaper price than similar models ? -- Yes , this price is very affordable , but driving this car you'll also notice a significant annual saving in gas consumption . The main attraction for this model is the fuel economy . -- With the cost of gasoline these days , that is a big plus . I think this model may be just what I'm looking for . -- Why don't you take it for a test drive , and think it over . --"
2809,"I think it is easier to buy a car than to maintain it . What ’ s worse , I just don ’ t trust those vehicle maintenance shops . Sometimes , they overcharge or don ’ t build those parts I have been paying for . Last week , they even tried to persuade me to buy new parts which really need not to be changed . You know , my car is just half a year old and also good brand . I was just wondering about all these . -- There are such shops living on selling parts . I don ’ t like their service either . All they want is your money . But in the long run , they will be losing costumers . Anyway , car service business is new in China . We all have to control what they are doing . Otherwise , they will not improve . -- Is it possible to make a compliant call to some organization what it ’ s someone gets rip-off . -- Yes , there is . Those organizations exist . You always can call a lawyer if you need legal help . --"
2810,"Excuse me , can you help me figure out how to get to the Wudaokou subway station from here ? -- Sure ... first you're going to have to buy a ticket to ride on the subway . The Wudaokou station is on the lightrail , so you'll have to transfer . Be sure you buy a combination ticket for the regular subway and the lightrail . It should cost you 5 yuan . -- An after I buy the ticket , where should I go ? -- You can take the red line train from here , but you'll have to transfer to the blue line at Fuxingmen transfer station . After you transfer , take the blue line that is heading north towards Fuchengmen . -- So I transfer from red to blue , then how long do I ride the blue ? -- You'll take the blue line until you reach Xizhimen . That's a big station , so there will likely be a lot of people getting off at that stop . You can transfer to the lightrail there , you'll have to exit the subway and present the unused portion of your combination ticket to the Ticketmaster , they'll give you a new ticket to use on the lightrail system . -- It sounds so complicated ! -- No , not the really , don't worry about it , like I said there'll be a lot of people there doing the same thing that you are doing , so just follow the crowd , There's only one direction to go , so you won't get on the wrong train . Head north on the Yellow line , and you'll see Wudaokou in just a couple of stops . --"
2811,"This website offers very convenient air tickets booking service . It is quick and accurate . -- Yes , I once booked there . They give the immediate confirm information and flight information to both your mobile phone and e-mail . You can conveniently pay by credit card , so the whole transaction only takes a couple of minutes . They also provide e-tickets , meaning you don ’ t need to go to any office to pick an air ticket . You go to the airport directly and check in with your ID card . -- So it has attracted more and more customers these days . -- Yes , therefore they are expanding the scope of their service . For example , hotels can be booked through the same site as well . --"
2812,The air conditioning is not working ! We need to call a handyman before we start to fry in here ! -- Dan is on top of that . I think they are also getting the handyman to fix the bathroom toilet that keeps clogging up . -- That would be convenient . They might as well ask him to fix the electrical wiring . The circuit breakers keep going out all the time . It ’ s really annoying ! -- Yeah you are right . This office is falling apart ! Frank told me the other day that the gutters outside were clogged and that ’ s why the parking lot was flooded . -- I know ! I was in ankle deep water trying to get to my car that day ! The handyman definitely has his work cut out for him . --
